wall_ms,type,valid_ts_ms,x,y,theta,innov_norm
1789391282889,0,1789391282881,-0.732576,1.79761,-0.0549434,0
1789391282933,0,1789391282926,-0.732483,1.79754,-0.0546374,0
1789391282983,0,1789391282977,-0.732411,1.7975,-0.0550885,0
1789391283040,0,1789391283032,-0.732439,1.79751,-0.0550081,0
1789391283094,0,1789391283084,-0.732469,1.79751,-0.054938,0
1789391283136,0,1789391283129,-0.732547,1.7975,-0.0549297,0
1789391283185,0,1789391283179,-0.732638,1.79748,-0.0543903,0
1789391283234,0,1789391283228,-0.732619,1.79758,-0.0545223,0
1789391283283,0,1789391283277,-0.732601,1.79768,-0.0550887,0
1789391283340,0,1789391283333,-0.732593,1.79775,-0.0549365,0
1789391283391,0,1789391283384,-0.732598,1.79781,-0.0547918,0
1789391283438,0,1789391283430,-0.732576,1.79788,-0.0544112,0
1789391283487,0,1789391283479,-0.732555,1.79798,-0.0545067,0
1789391283534,0,1789391283528,-0.732583,1.7981,-0.0545591,0
1789391283591,0,1789391283583,-0.732695,1.79825,-0.0548596,0
1789391283639,0,1789391283634,-0.732774,1.79839,-0.0546976,0
1789391283694,0,1789391283685,-0.732846,1.79853,-0.0540246,0
1789391283745,0,1789391283736,-0.732878,1.79864,-0.0538167,0
1789391283799,0,1789391283788,-0.732755,1.79862,-0.0541661,0
1789391283849,0,1789391283841,-0.73263,1.79861,-0.0532801,0
1789391283907,0,1789391283901,-0.732776,1.7986,-0.0533314,0
1789391283956,0,1789391283950,-0.732937,1.79858,-0.0537795,0
1789391284008,0,1789391283999,-0.732944,1.79862,-0.0548633,0
1789391284052,0,1789391284045,-0.732932,1.79866,-0.0544469,0
1789391284104,0,1789391284097,-0.732927,1.79863,-0.0547401,0
1789391284150,0,1789391284145,-0.732939,1.79857,-0.0550964,0
1789391284211,0,1789391284202,-0.732915,1.79851,-0.0555193,0
1789391284265,0,1789391284257,-0.732873,1.79848,-0.0551783,0
1789391284316,0,1789391284308,-0.732824,1.79843,-0.0550782,0
1789391284360,0,1789391284353,-0.732796,1.79834,-0.0554757,0
1789391284413,0,1789391284405,-0.732769,1.79828,-0.0555284,0
1789391284457,0,1789391284450,-0.732788,1.79837,-0.0552906,0
1789391284523,0,1789391284516,-0.73283,1.79851,-0.0544443,0
1789391284572,0,1789391284565,-0.73286,1.79841,-0.0546441,0
1789391284625,0,1789391284619,-0.732896,1.79829,-0.0540739,0
1789391284676,0,1789391284670,-0.73298,1.79829,-0.0540726,0
1789391284731,0,1789391284723,-0.733088,1.79831,-0.0541661,0
1789391284774,0,1789391284766,-0.733214,1.7983,-0.0542215,0
1789391284828,0,1789391284819,-0.733399,1.79828,-0.0541058,0
1789391284873,0,1789391284865,-0.73341,1.79832,-0.0545161,0
1789391284926,0,1789391284917,-0.733346,1.79841,-0.0546518,0
1789391284979,0,1789391284971,-0.733256,1.79847,-0.0544293,0
1789391285032,0,1789391285025,-0.733148,1.79849,-0.0539108,0
1789391285072,0,1789391285066,-0.733064,1.79851,-0.0534056,0
1789391285131,0,1789391285124,-0.733016,1.79855,-0.0531085,0
1789391285184,0,1789391285177,-0.732969,1.79859,-0.0531698,0
1789391285237,0,1789391285228,-0.732976,1.79849,-0.05265,0
1789391285284,0,1789391285277,-0.732983,1.7984,-0.0532039,0
1789391285338,0,1789391285329,-0.732983,1.7984,-0.0530896,0
1789391285378,0,1789391285373,-0.732987,1.79842,-0.0530136,0
1789391285437,0,1789391285429,-0.733055,1.79852,-0.0529272,0
1789391285495,0,1789391285488,-0.733191,1.79866,-0.0525798,0
1789391285550,0,1789391285543,-0.733272,1.79876,-0.0524071,0
1789391285599,0,1789391285591,-0.73332,1.7988,-0.052175,0
1789391285648,0,1789391285641,-0.733305,1.79881,-0.0528075,0
1789391285697,0,1789391285689,-0.733201,1.79874,-0.0537337,0
1789391285754,0,1789391285747,-0.733124,1.79867,-0.0541687,0
1789391285802,0,1789391285794,-0.733311,1.79863,-0.0552015,0
1789391285854,0,1789391285846,-0.733522,1.79859,-0.0557375,0
1789391285902,0,1789391285896,-0.733477,1.79858,-0.0560211,0
1789391285955,0,1789391285947,-0.733431,1.79858,-0.0563063,0
1789391286000,0,1789391285992,-0.733427,1.7985,-0.0553816,0
1789391286058,0,1789391286051,-0.733435,1.7984,-0.0556934,0
1789391286105,0,1789391286097,-0.733464,1.7984,-0.0560177,0
1789391286156,0,1789391286149,-0.733523,1.79844,-0.0556115,0
1789391286202,0,1789391286196,-0.73353,1.79847,-0.0556503,0
1789391286267,0,1789391286257,-0.733525,1.79849,-0.0552058,0
1789391286318,0,1789391286309,-0.733519,1.79853,-0.0551358,0
1789391286369,0,1789391286361,-0.733555,1.79859,-0.054364,0
1789391286410,0,1789391286404,-0.733565,1.79862,-0.0545167,0
1789391286464,0,1789391286456,-0.733544,1.79856,-0.0548984,0
1789391286511,0,1789391286504,-0.733522,1.7985,-0.0551524,0
1789391286575,0,1789391286567,-0.733597,1.79865,-0.0557614,0
1789391286628,0,1789391286620,-0.733686,1.79882,-0.0559098,0
1789391286680,0,1789391286673,-0.733737,1.79882,-0.0564401,0
1789391286725,0,1789391286716,-0.733776,1.79879,-0.0563287,0
1789391286779,0,1789391286772,-0.733813,1.79881,-0.0556521,0
1789391286826,0,1789391286820,-0.73385,1.79887,-0.0559126,0
1789391286879,0,1789391286871,-0.733878,1.79892,-0.0565341,0
1789391286923,0,1789391286916,-0.733911,1.79897,-0.0562244,0
1789391286980,0,1789391286970,-0.733913,1.79901,-0.0570102,0
1789391287023,0,1789391287013,-0.733868,1.79901,-0.0567506,0
1789391287078,0,1789391287071,-0.733815,1.79903,-0.0567907,0
1789391287126,0,1789391287119,-0.733813,1.79911,-0.0570779,0
1789391287182,0,1789391287174,-0.733816,1.79921,-0.0566608,0
1789391287232,0,1789391287224,-0.733793,1.79923,-0.0566062,0
1789391287283,0,1789391287275,-0.733769,1.79926,-0.0565504,0
1789391287328,0,1789391287319,-0.733936,1.79917,-0.0560277,0
1789391287385,0,1789391287376,-0.73417,1.79905,-0.0561269,0
1789391287434,0,1789391287425,-0.73421,1.79902,-0.0562744,0
1789391287486,0,1789391287476,-0.734198,1.79902,-0.056329,0
1789391287533,0,1789391287524,-0.734093,1.79905,-0.0564593,0
1789391287590,0,1789391287583,-0.73392,1.79911,-0.056615,0
1789391287637,0,1789391287629,-0.733826,1.79915,-0.0567647,0
1789391287688,0,1789391287679,-0.733843,1.7992,-0.0564333,0
1789391287732,0,1789391287724,-0.733861,1.79922,-0.0562601,0
1789391287792,0,1789391287783,-0.733964,1.79917,-0.0566876,0
1789391287849,0,1789391287841,-0.734067,1.79912,-0.0569597,0
1789391287902,0,1789391287894,-0.734137,1.7992,-0.0572031,0
1789391287947,0,1789391287937,-0.73419,1.79927,-0.0574688,0
1789391287996,0,1789391287987,-0.734127,1.79922,-0.0579996,0
1789391288049,0,1789391288042,-0.734043,1.79915,-0.0586101,0
1789391288101,0,1789391288093,-0.733958,1.79915,-0.0585849,0
1789391288156,0,1789391288148,-0.733883,1.79919,-0.0582962,0
1789391288214,0,1789391288207,-0.733825,1.79922,-0.058058,0
1789391288261,0,1789391288253,-0.733823,1.79923,-0.0579879,0
1789391288309,0,1789391288301,-0.733785,1.79921,-0.0576695,0
1789391288357,0,1789391288349,-0.73371,1.79914,-0.0573613,0
1789391288408,0,1789391288402,-0.733619,1.79909,-0.0574074,0
1789391288462,0,1789391288455,-0.733527,1.79921,-0.0572873,0
1789391288513,0,1789391288504,-0.733441,1.79931,-0.0571879,0
1789391288558,0,1789391288551,-0.733429,1.7993,-0.0564111,0
1789391288607,0,1789391288601,-0.733418,1.79929,-0.0559839,0
1789391288656,0,1789391288647,-0.733369,1.79938,-0.0555701,0
1789391288718,0,1789391288710,-0.733311,1.79952,-0.0552598,0
1789391288771,0,1789391288765,-0.733261,1.7996,-0.0553551,0
1789391288820,0,1789391288812,-0.733237,1.79964,-0.0560313,0
1789391288865,0,1789391288858,-0.733173,1.7997,-0.0567909,0
1789391288923,0,1789391288915,-0.733083,1.79978,-0.0572161,0
1789391288970,0,1789391288964,-0.733055,1.79982,-0.0575255,0
1789391289028,0,1789391289020,-0.733175,1.7998,-0.0574652,0
1789391289076,0,1789391289069,-0.733246,1.79978,-0.0569596,0
1789391289134,0,1789391289125,-0.733212,1.79972,-0.0562726,0
1789391289181,0,1789391289173,-0.733179,1.79967,-0.0562717,0
1789391289235,0,1789391289225,-0.733252,1.79976,-0.0567908,0
1789391289277,0,1789391289269,-0.733313,1.79983,-0.056143,0
1789391289329,0,1789391289322,-0.733252,1.79987,-0.055962,0
1789391289372,0,1789391289365,-0.73318,1.7999,-0.055917,0
1789391289430,0,1789391289421,-0.733079,1.79987,-0.0564882,0
1789391289476,0,1789391289469,-0.733003,1.79981,-0.0559629,0
1789391289533,0,1789391289524,-0.73292,1.79981,-0.0568122,0
1789391289573,0,1789391289565,-0.732876,1.79987,-0.0566961,0
1789391289622,0,1789391289615,-0.732867,1.79989,-0.0565386,0
1789391289672,0,1789391289664,-0.732965,1.79983,-0.057003,0
1789391289732,0,1789391289723,-0.733078,1.79979,-0.0573996,0
1789391289775,0,1789391289766,-0.733156,1.79985,-0.0578894,0
1789391289832,0,1789391289825,-0.733272,1.79994,-0.0574142,0
1789391289883,0,1789391289874,-0.733338,1.79986,-0.0577166,0
1789391289935,0,1789391289926,-0.73341,1.79978,-0.0578505,0
1789391289978,0,1789391289970,-0.733515,1.79968,-0.0575411,0
1789391290033,0,1789391290024,-0.733652,1.79955,-0.057894,0
1789391290086,0,1789391290077,-0.733793,1.79949,-0.0578213,0
1789391290138,0,1789391290128,-0.73395,1.79946,-0.0576738,0
1789391290190,0,1789391290174,-0.734081,1.79935,-0.0579335,0
1789391290238,0,1789391290227,-0.734252,1.79914,-0.05768,0
1789391290286,0,1789391290277,-0.734331,1.79898,-0.0578787,0
1789391290339,0,1789391290332,-0.734284,1.79887,-0.0580683,0
1789391290399,0,1789391290390,-0.734233,1.79877,-0.0580259,0
1789391290452,0,1789391290443,-0.734218,1.79873,-0.0580638,0
1789391290502,0,1789391290494,-0.734203,1.79869,-0.0581001,0
1789391290553,0,1789391290545,-0.734306,1.79867,-0.0581258,0
1789391290606,0,1789391290598,-0.734415,1.79865,-0.0591491,0
1789391290664,0,1789391290657,-0.734467,1.79869,-0.0589417,0
