cycle,node,npts,gated,energy,fe_baseline,fe_surprise,R,motion_var,depth_var,trunc_frac,range,clutter_frac,s,w,h,cx,cy,yaw,std_s,std_w,std_h,phi
115,door_2,3045,0,0.348922,0.966845,0.0305196,0.00490697,3.21177e-05,0,0,3.15232,0.0412641,0.752465,0.7,2.06233,1.18397,2.538,0,0.600428,0.0135137,0.00552114,0
93,door_3,3345,0,1.28025,0.743922,0.152992,0.0125357,5.87285e-06,0,0,5.39208,0.202913,0.750976,0.885599,2.07209,-0.423858,4.61018,-0.014924,0.0290825,0.00656611,0.00732172,0
116,door_2,3013,0,0.474624,0.942234,0.0274677,0.00489119,1.84485e-05,0,0,3.15148,0.0554863,0.752465,0.7,2.0618,1.18397,2.538,0,0.600449,0.013224,0.00540417,0
94,door_3,3345,0,1.32588,0.746831,0.195598,0.0125298,3.87713e-09,0,0,5.39207,0.212423,0.709071,0.884615,2.07152,-0.466249,4.61082,-0.014924,0.0288399,0.00654755,0.00730988,0
117,door_2,3025,0,0.510643,0.920654,0.0247209,0.00487124,1.33557e-07,0,0,3.15084,0.0595375,0.752465,0.7,2.06122,1.18397,2.538,0,0.60047,0.012953,0.00528693,0
95,door_3,3345,0,1.32894,0.749742,0.233958,0.0125301,0,0,0,5.39215,0.212999,0.737852,0.884579,2.07096,-0.43749,4.61039,-0.014924,0.0288464,0.00653022,0.00729821,0
118,door_2,3024,0,0.507702,0.900006,0.0222488,0.00487263,0,0,0,3.15144,0.0593813,0.752465,0.7,2.06068,1.18397,2.538,0,0.600489,0.0126987,0.00517707,0
96,door_3,3344,0,1.33466,0.752666,0.268762,0.0125299,0,0,0,5.39211,0.21442,0.693199,0.883408,2.07042,-0.482723,4.61106,-0.014924,0.0285828,0.00651251,0.0072867,0
119,door_2,2988,0,0.513433,0.880678,0.0200239,0.00486996,0,0,0,3.15038,0.0597695,0.752465,0.7,2.06018,1.18397,2.538,0,0.60051,0.0124594,0.00507486,0
97,door_3,3344,0,1.32869,0.755547,0.2992,0.0125299,1.05404e-16,0,0,5.39211,0.212938,0.748453,0.882559,2.06988,-0.427899,4.61024,-0.014924,0.0287551,0.00649639,0.00727535,0
120,door_2,2988,0,0.513422,0.862315,0.0180215,0.00486996,2.06243e-16,0,0,3.15038,0.0597691,0.752465,0.7,2.05971,1.18397,2.538,0,0.600531,0.012234,0.00497959,0
98,door_3,3344,0,1.33218,0.75843,0.326655,0.0125299,3.92533e-16,0,0,5.39211,0.21379,0.708064,0.881403,2.06936,-0.468863,4.61086,-0.014924,0.028516,0.0064796,0.00726416,0
121,door_2,2988,0,0.513412,0.84487,0.0162194,0.00486996,2.0129e-17,0,0,3.15038,0.0597689,0.752465,0.7,2.05926,1.18397,2.538,0,0.600553,0.012021,0.00489072,0
99,door_3,3344,0,1.33726,0.761324,0.351584,0.0125299,7.90009e-19,0,0,5.39211,0.2151,0.68546,0.880928,2.06884,-0.491701,4.6112,-0.014924,0.0282607,0.00646318,0.00725312,0
122,door_2,2988,0,0.513403,0.828296,0.0145974,0.00486996,6.18673e-16,0,0,3.15038,0.0597686,0.752465,0.7,2.05885,1.18397,2.538,0,0.600574,0.0118194,0.00480751,0
100,door_3,3344,0,1.32908,0.764163,0.372917,0.0125299,1.09744e-15,0,0,5.39211,0.21303,0.740009,0.880005,2.06834,-0.437619,4.61039,-0.014924,0.0282664,0.00644774,0.00724223,0
123,door_2,2988,0,0.513394,0.812551,0.0131377,0.00486996,8.28108e-16,0,0,3.15038,0.0597683,0.752465,0.7,2.05846,1.18397,2.538,0,0.600593,0.0116283,0.0047297,0
