cycle,node,L,p_exists,cx,cy,inroom,roomprior_loaded,won,since_det,sil_occ,sil_free,sil_free_eff,n_detectable,n_total,n_occluded,resolvability,central_frac,p_detect,oblq,remove_streak,obs_top_z,obs_top_conf,trunc,gated,gate_fresh
6000,door_2,4,0.982014,0.777063,2.538,1,1,0,1522,0,0,0,0,420,0,0,0,0,0.952017,0,2.05811,0.999681,0,0,0
6060,door_2,4,0.982014,0.777063,2.538,1,1,0,1594,0,0,0,0,420,0,0,0,0,0.952018,0,2.05811,0.999681,0,0,0
6120,door_2,4,0.982014,0.777063,2.538,1,1,0,1667,0,0,0,0,420,0,0,0,0,0.952018,0,2.05811,0.999681,0,0,0
6180,door_2,4,0.982014,0.777063,2.538,1,1,0,1744,0,0,0,0,420,0,0,0,0,0.952021,0,2.05811,0.999681,0,0,0
6240,door_2,4,0.982014,0.777063,2.538,1,1,0,1822,0,0,0,0,420,0,0,0,0,0.952021,0,2.05811,0.999681,0,0,0
6300,door_2,4,0.982014,0.777063,2.538,1,1,0,1902,0,0,0,0,420,0,0,0,0,0.952022,0,2.05811,0.999681,0,0,0
6360,door_2,4,0.982014,0.777063,2.538,1,1,0,1979,0,0,0,0,420,0,0,0,0,0.952024,0,2.05811,0.999681,0,0,0
6420,door_2,4,0.982014,0.777063,2.538,1,1,0,2055,0,0,0,0,420,0,0,0,0,0.952026,0,2.05811,0.999681,0,0,0
6480,door_2,4,0.982014,0.777063,2.538,1,1,0,2126,0,0,0,0,420,0,0,0,0,0.952028,0,2.05811,0.999681,0,0,0
6540,door_2,4,0.982014,0.777063,2.538,1,1,0,2194,0,0,0,0,420,0,0,0,0,0.952029,0,2.05811,0.999681,0,0,0
6600,door_2,4,0.982014,0.777063,2.538,1,1,0,2262,0,0,0,0,420,0,0,0,0,0.95203,0,2.05811,0.999681,0,0,0
6660,door_2,4,0.982014,0.777063,2.538,1,1,0,2329,0,0,0,0,420,0,0,0,0,0.952031,0,2.05811,0.999681,0,0,0
6720,door_2,4,0.982014,0.777063,2.538,1,1,0,2397,0,0,0,0,420,0,0,0,0,0.952032,0,2.05811,0.999681,0,0,0
6780,door_2,4,0.982014,0.777063,2.538,1,1,0,2465,0,0,0,0,420,0,0,0,0,0.952033,0,2.05811,0.999681,0,0,0
6840,door_2,4,0.982014,0.777063,2.538,1,1,0,2533,0,0,0,0,420,0,0,0,0,0.952034,0,2.05811,0.999681,0,0,0
6900,door_2,4,0.982014,0.777063,2.538,1,1,0,2600,0,0,0,0,420,0,0,0,0,0.952035,0,2.05811,0.999681,0,0,0
6960,door_2,4,0.982014,0.777063,2.538,1,1,0,2669,0,0,0,0,420,0,0,0,0,0.952036,0,2.05811,0.999681,0,0,0
7020,door_2,4,0.982014,0.777063,2.538,1,1,0,2736,0,0,0,0,420,0,0,0,0,0.952037,0,2.05811,0.999681,0,0,0
7080,door_2,4,0.982014,0.777063,2.538,1,1,0,2803,0,0,0,0,420,0,0,0,0,0.952038,0,2.05811,0.999681,0,0,0
7140,door_2,4,0.982014,0.777063,2.538,1,1,0,2872,0,0,0,0,420,0,0,0,0,0.952039,0,2.05811,0.999681,0,0,0
7200,door_2,4,0.982014,0.777063,2.538,1,1,0,2940,0,0,0,0,420,0,0,0,0,0.95204,0,2.05811,0.999681,0,0,0
7260,door_2,4,0.982014,0.777063,2.538,1,1,0,3012,0,0,0,0,420,0,0,0,0,0.952041,0,2.05811,0.999681,0,0,0
7320,door_2,4,0.982014,0.777063,2.538,1,1,0,3080,0,0,0,0,420,0,0,0,0,0.952043,0,2.05811,0.999681,0,0,0
