cycle,n_door_slices,slice_idx,npts,conf,cx,cy,range,trunc_frac,motion_var
155,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
155,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
156,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
156,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
157,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
157,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
158,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
158,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
159,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
159,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
160,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
160,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
161,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
161,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
162,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
162,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
163,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
163,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
164,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
164,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
165,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
165,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
166,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
166,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
167,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
167,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
168,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
168,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
169,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
169,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
170,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
170,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
171,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
171,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
172,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
172,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
173,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
173,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
174,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
174,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
175,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
175,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
176,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
176,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
