room,sigma,error
37,0.495757,0.010656922632730317
37,0.0325444,0.015967269647626008
37,0.0241834,0.011567079536339364
37,0.0241953,0.006765279003854804
37,0.0272621,0.014830202291269917
38,0.647699,0.07892187592803387
38,0.0362726,0.07626105755888755
38,1.24516,0.04872816586944365
38,1.13206,0.0442999447968054
38,0.0412145,0.009203396112305369
38,0.0213972,0.017167099347298154
38,0.0234314,0.029030192903251897
38,0.483245,0.07427504897339345
39,0.0270011,0.008558636351948694
39,0.0235736,0.007399863607181994
39,0.0235451,0.008475103574877301
39,0.0238702,0.010011071801006086
39,0.0220154,0.007472649723150663
39,0.0273525,0.0068571525843385845
40,0.0234357,0.007462794382803138
40,0.0220443,0.007592127501564043
40,0.0389765,0.01083573716920099
40,0.0402698,0.016255168531885463
40,0.027815,0.01156323920880294
40,0.0232944,0.0069343564950182165
41,0.0231111,0.0071693374868254875
41,0.0249616,0.006892807845863732
41,0.0275848,0.013549059044819373
41,0.0239667,0.014426320702105545
41,0.0239873,0.00767475081028703
41,0.0226719,0.005594220231632067
42,0.0233046,0.006622174869330988
42,0.0222634,0.0035039549083855145
42,0.0356927,0.0039019724499283447
42,0.0474695,0.0060313942003489655
42,0.0350594,0.0075724302571897805
42,0.0230917,0.0077499032252024485
43,0.0222634,0.010316128149650099
43,0.02355,0.007938570400267247
43,0.673817,0.09669152703313763
43,0.457389,0.09752944683530199
43,0.0234122,0.006350787352761554
43,0.022714,0.007755049967601655
44,0.0228923,0.009539627875341253
44,0.0239567,0.007955482386379215
44,0.0243176,0.008635259173875849
44,0.0580584,0.008060533232981549
44,0.0809572,0.010239435335994184
44,0.0310524,0.00751698909138518
44,0.0232912,0.01559597643624788
44,0.0224215,0.018012363226406383
44,0.0283652,0.014402503254642582
44,0.0263156,0.015141614841224697
45,0.0237283,0.024811940673796645
45,0.0349855,0.016781540453724732
45,0.0291192,0.013613559416992932
45,0.0233264,0.006995805886386491
45,0.023011,0.00718149009607368
45,0.0258904,0.014100026985789821
45,0.0237002,0.009319668663638396
45,0.0261264,0.01985326484485658
46,0.0246922,0.014868923969138097
46,0.0290174,0.014340421890586489
46,0.0234163,0.06600194645614639
46,0.0234163,0.015340550837567997
46,0.0226784,0.011326438098537691
46,0.0246197,0.011464466843251066
47,0.0230783,0.008792002047315183
47,0.0226004,0.009499073639045138
47,0.151252,0.005795851016028767
47,0.206794,0.0055118553137760585
47,0.0361941,0.007198284517855666
47,0.0224335,0.004276178200215452
48,0.0231934,0.02691105720702922
48,0.0229036,0.029120401782942486
48,0.058508,0.021250799984941858
48,0.058508,0.02098385810569623
48,0.058508,0.02803024275670818
48,0.058508,0.027020651361504753
48,0.058508,0.03819698690996429
48,0.0502059,0.0375871919674774
49,0.0291969,0.05413569709535448
49,0.335413,0.16326309765528751
49,0.276325,0.15678033525924095
49,0.0244745,0.02258788392036782
49,0.0217178,0.02549301276820794
49,0.0313803,0.035209165979897886
49,0.0338609,0.03832390173247012
49,0.02413,0.047967140252468614
49,0.02413,0.04032646735086037
49,0.0221078,0.0393865890881655
50,0.0223787,0.01412473716569569
50,0.0260118,0.014062848217911024
50,0.653627,0.10479529046670005
50,0.497647,0.10527081088791906
50,0.0228487,0.01081649203762454
50,0.0240399,0.010724775055916137
51,0.0228778,0.005898643911951203
51,0.0246926,0.004820290447681431
51,0.0250064,0.07839232424159905
51,0.0635899,0.006627827698424497
51,0.0631894,0.002943280652605033
51,0.0335194,0.0021141497108765695
52,0.0230345,0.0010666770832828687
52,0.0237237,0.11962208199157906
52,0.0533733,0.015821772972710826
52,0.0874676,0.016168444575778356
52,0.034158,0.014067977821989661
52,1.05071,0.08893430665384429
52,1.18566,0.09005895513495596
52,0.0262947,0.013572685806427646
53,0.0382447,0.03355561206415374
53,0.0223831,0.033579548835563404
53,0.0221191,0.02776060727001473
53,0.0235884,0.027146196787027035
53,0.0243221,0.03104158662182093
53,0.0244418,0.03174284958852959
53,0.0236427,0.026523261488738497
53,0.0353579,0.026354660403807174
54,0.0219616,0.02852675936730306
54,0.0219616,0.056402834148648814
54,0.0640502,0.02780822340603587
54,0.0444648,0.012526268398849091
54,0.0236183,0.03886644310970615
54,0.0223456,0.045889088027547174
55,0.022647,0.00977417515701459
55,0.0223354,0.0237996071396151
55,0.022598,0.02558058834350756
55,0.0253724,0.013475284783632548
55,0.0524066,0.006370928425276602
55,0.037277,0.009191652952543577
56,0.0387643,0.028879316127636973
56,0.0312237,0.02141956348761563
56,0.0237676,0.012970231300944626
56,0.0216788,0.01767942589565643
56,0.0253561,0.04184873713745708
56,0.0253561,0.15121507365338935
56,0.0275471,0.11981898430549322
56,0.0289044,0.0018170580618130198
56,0.0237023,0.01360097422981152
56,0.0311082,0.013072413702143843
57,0.0237748,0.009657256339147166
57,0.0238273,0.015174933278271812
57,0.0260403,0.016206381459166096
57,0.0236953,0.009632289447477967
57,0.0240072,0.007972954283075068
57,0.0222403,0.014487322043773414
57,0.0219606,0.011429596843283742
57,0.0240552,0.004351183746981909
