wall_ms,type,valid_ts_ms,x,y,theta,innov_norm
1789391746535,0,1789391746526,-0.438789,-0.935915,3.1067,0
1789391746595,0,1789391746585,-0.438801,-0.935922,3.10697,0
1789391746660,0,1789391746649,-0.438858,-0.935896,3.10693,0
1789391746710,0,1789391746701,-0.438894,-0.935883,3.10676,0
1789391746763,0,1789391746753,-0.43892,-0.935877,3.10724,0
1789391746815,0,1789391746806,-0.438903,-0.935892,3.10702,0
1789391746879,0,1789391746870,-0.438774,-0.935965,3.10678,0
1789391746935,0,1789391746924,-0.438694,-0.936011,3.10682,0
1789391746993,0,1789391746982,-0.438716,-0.936003,3.10767,0
1789391747035,0,1789391747026,-0.438732,-0.935998,3.1079,0
1789391747091,0,1789391747075,-0.438801,-0.935964,3.10779,0
1789391747141,0,1789391747132,-0.438881,-0.935925,3.10804,0
1789391747208,0,1789391747197,-0.438886,-0.935972,3.10824,0
1789391747267,0,1789391747257,-0.438853,-0.936055,3.1081,0
1789391747316,0,1789391747305,-0.438894,-0.936061,3.10866,0
1789391747360,0,1789391747352,-0.438956,-0.936047,3.1084,0
1789391747421,0,1789391747413,-0.438983,-0.936027,3.10823,0
1789391747467,0,1789391747457,-0.438964,-0.936012,3.10816,0
1789391747517,0,1789391747507,-0.438944,-0.935997,3.10812,0
1789391747564,0,1789391747554,-0.438929,-0.935985,3.10797,0
1789391747614,0,1789391747604,-0.438927,-0.93598,3.10789,0
1789391747658,0,1789391747650,-0.438981,-0.936007,3.10782,0
1789391747714,0,1789391747704,-0.439047,-0.936039,3.10753,0
1789391747777,0,1789391747770,-0.438969,-0.936007,3.10691,0
1789391747850,0,1789391747838,-0.43885,-0.935958,3.10648,0
1789391747909,0,1789391747901,-0.438817,-0.935877,3.10644,0
1789391747973,0,1789391747963,-0.438816,-0.935783,3.10674,0
1789391748035,0,1789391748026,-0.438754,-0.935764,3.10633,0
1789391748095,0,1789391748085,-0.438654,-0.935803,3.10656,0
1789391748143,0,1789391748132,-0.438616,-0.935765,3.10654,0
1789391748200,0,1789391748188,-0.438607,-0.93566,3.10553,0
1789391748246,0,1789391748237,-0.438607,-0.935609,3.10587,0
1789391748300,0,1789391748287,-0.43862,-0.935634,3.10591,0
1789391748340,0,1789391748332,-0.438625,-0.935634,3.10601,0
1789391748402,0,1789391748394,-0.438593,-0.935511,3.10586,0
1789391748447,0,1789391748437,-0.438571,-0.935426,3.1059,0
1789391748500,0,1789391748488,-0.438525,-0.935426,3.10587,0
1789391748542,0,1789391748534,-0.438485,-0.935427,3.10576,0
1789391748600,0,1789391748589,-0.438446,-0.935443,3.10564,0
1789391748647,0,1789391748638,-0.438415,-0.93546,3.10589,0
1789391748699,0,1789391748688,-0.438368,-0.935412,3.10616,0
1789391748745,0,1789391748736,-0.438316,-0.935338,3.10627,0
1789391748806,0,1789391748794,-0.438283,-0.935251,3.10645,0
1789391748853,0,1789391748845,-0.438286,-0.935177,3.10681,0
1789391748906,0,1789391748895,-0.438259,-0.93511,3.10647,0
1789391748957,0,1789391748948,-0.438176,-0.935052,3.10635,0
1789391749009,0,1789391749000,-0.438106,-0.935008,3.10698,0
1789391749063,0,1789391749053,-0.43809,-0.935029,3.10758,0
1789391749124,0,1789391749114,-0.438072,-0.935053,3.10716,0
1789391749169,0,1789391749158,-0.438074,-0.935105,3.10664,0
1789391749234,0,1789391749223,-0.438077,-0.935183,3.10633,0
1789391749291,0,1789391749282,-0.438093,-0.935222,3.10599,0
1789391749354,0,1789391749347,-0.438114,-0.935256,3.10594,0
1789391749416,0,1789391749405,-0.438097,-0.935226,3.10585,0
1789391749477,0,1789391749467,-0.438051,-0.935148,3.10567,0
1789391749521,0,1789391749511,-0.43797,-0.935098,3.10548,0
1789391749569,0,1789391749560,-0.437835,-0.935047,3.10508,0
1789391749617,0,1789391749607,-0.437741,-0.935019,3.10503,0
1789391749679,0,1789391749670,-0.437708,-0.935038,3.10463,0
1789391749721,0,1789391749712,-0.437675,-0.935051,3.10457,0
1789391749769,0,1789391749761,-0.437586,-0.935068,3.10451,0
1789391749815,0,1789391749808,-0.437501,-0.935085,3.10427,0
1789391749874,0,1789391749863,-0.437449,-0.93501,3.10498,0
1789391749915,0,1789391749905,-0.437415,-0.934942,3.10501,0
1789391749972,0,1789391749963,-0.437386,-0.934817,3.10583,0
1789391750019,0,1789391750008,-0.437369,-0.93471,3.10604,0
1789391750073,0,1789391750063,-0.437395,-0.934686,3.10605,0
1789391750135,0,1789391750125,-0.437458,-0.934739,3.10568,0
1789391750197,0,1789391750186,-0.437507,-0.934769,3.10625,0
1789391750241,0,1789391750230,-0.437531,-0.934769,3.10609,0
1789391750292,0,1789391750281,-0.437587,-0.934783,3.1064,0
1789391750336,0,1789391750325,-0.437673,-0.934812,3.10649,0
1789391750391,0,1789391750381,-0.437776,-0.934842,3.10637,0
1789391750436,0,1789391750425,-0.437829,-0.934829,3.10619,0
1789391750489,0,1789391750478,-0.437892,-0.934813,3.10585,0
1789391750536,0,1789391750527,-0.437896,-0.934756,3.10619,0
1789391750592,0,1789391750580,-0.437901,-0.934695,3.10627,0
1789391750659,0,1789391750650,-0.437922,-0.934625,3.10561,0
1789391750716,0,1789391750706,-0.437946,-0.934576,3.10495,0
1789391750773,0,1789391750763,-0.437937,-0.934645,3.10454,0
1789391750822,0,1789391750812,-0.437911,-0.934769,3.10421,0
1789391750875,0,1789391750868,-0.437888,-0.934854,3.10464,0
1789391750929,0,1789391750919,-0.437876,-0.93487,3.10434,0
1789391750973,0,1789391750964,-0.43787,-0.934871,3.10404,0
1789391751021,0,1789391751014,-0.437874,-0.934847,3.10387,0
1789391751067,0,1789391751061,-0.437871,-0.934812,3.10423,0
1789391751119,0,1789391751111,-0.437832,-0.934712,3.10399,0
1789391751182,0,1789391751173,-0.437785,-0.93459,3.10378,0
1789391751248,0,1789391751239,-0.437802,-0.934618,3.10429,0
1789391751307,0,1789391751298,-0.437833,-0.93468,3.10432,0
