frame,nis_pre,n,over,tour_nis_pre,tour_se,tour_n,tour_over_frac,tour_nis_acc,sigma_det,sigma_pred,sigma_model,resid_mean,resid_max,ori_mean,ori_min,line_sigma_phi_deg,line_sigma_d_m,npts,resid_sig_m,lever_m,corner_angle_deg,corners_in_fov,accepted,rej_dist
90,1.27067,11,2,1.22832,0.0316862,996,0.180723,0.497598,0.128939,0.0238849,0.04,0.0361128,0.0629948,0.795965,1.31721e-07,8.3819,0.831168,271.943,0.044843,2.57149,109.295,12,8,2
91,1.21279,11,2,1.22815,0.0315127,1007,0.180735,0.496903,0.129003,0.0237624,0.04,0.0352914,0.0624258,0.795867,1.31721e-07,8.31092,0.822904,271.986,0.0448489,2.57053,109.314,12,8,2
92,1.52692,11,3,1.23138,0.031342,1018,0.181729,0.49817,0.129054,0.0236424,0.04,0.039812,0.0979513,0.795953,1.31721e-07,8.60546,0.833697,271.901,0.0448582,2.57042,109.309,12,8,3
93,1.19688,11,2,1.23101,0.031174,1029,0.18173,0.497372,0.129111,0.0235233,0.04,0.03496,0.0614901,0.796202,1.31721e-07,8.52909,0.825655,271.946,0.0448631,2.57075,109.295,12,8,2
94,1.23326,11,2,1.23103,0.0310087,1040,0.181731,0.496504,0.129172,0.0234097,0.04,0.0350779,0.0598701,0.79612,1.31721e-07,8.45838,0.817724,271.991,0.0448689,2.56999,109.309,12,8,2
95,1.20173,11,2,1.23073,0.030846,1051,0.181732,0.495129,0.12923,0.0232987,0.04,0.0333613,0.0576375,0.79607,1.31721e-07,8.38511,0.809968,272.034,0.044868,2.56969,109.306,12,8,2
96,1.42725,11,2,1.23276,0.0306858,1062,0.181733,0.497177,0.129285,0.0231891,0.04,0.0436584,0.106071,0.796135,1.31721e-07,8.66571,0.820529,271.947,0.0448713,2.56957,109.299,12,9,2
97,1.56088,11,3,1.23612,0.0305281,1073,0.182665,0.497428,0.129311,0.02308,0.04,0.0389644,0.0789711,0.796154,1.31721e-07,8.81911,0.82339,271.868,0.0448807,2.56929,109.295,12,8,3
98,1.23822,11,2,1.23615,0.0303728,1084,0.182657,0.496719,0.12937,0.022974,0.04,0.0360771,0.0609556,0.796091,1.31721e-07,8.74886,0.815845,271.906,0.0448837,2.56865,109.304,12,8,2
99,1.16254,11,1,1.23541,0.0302199,1095,0.181735,0.498816,0.12943,0.022869,0.04,0.0431842,0.108684,0.796162,1.31721e-07,8.67791,0.808508,271.944,0.0448894,2.56835,109.308,12,9,1
100,1.1783,11,2,1.23484,0.0300692,1106,0.181736,0.497545,0.129483,0.022768,0.04,0.0339938,0.0534785,0.79627,1.31721e-07,8.60688,0.801266,271.982,0.0448914,2.56837,109.306,12,8,2
101,1.3669,11,3,1.23614,0.0299208,1117,0.182632,0.496503,0.129371,0.0226665,0.04,0.0354321,0.0527979,0.796339,1.31721e-07,8.63949,0.797705,271.904,0.0448935,2.56802,109.29,12,8,3
102,1.1963,11,1,1.23575,0.0297746,1128,0.181738,0.498533,0.129425,0.0225701,0.04,0.0429997,0.108167,0.796335,1.31721e-07,8.57232,0.790698,271.937,0.0448954,2.56741,109.301,12,9,1
103,1.22332,11,2,1.23563,0.0296304,1139,0.181738,0.497861,0.129476,0.0224739,0.04,0.0351508,0.0635656,0.796379,1.31721e-07,8.50543,0.78383,271.973,0.0448987,2.56721,109.301,12,8,2
104,1.42028,11,3,1.2374,0.0294884,1150,0.182609,0.496876,0.129514,0.0223789,0.04,0.0343488,0.056725,0.796452,1.31721e-07,8.72003,0.791067,271.897,0.0448997,2.56715,109.293,12,8,3
105,1.22322,11,2,1.23726,0.0293484,1161,0.182601,0.496188,0.129568,0.0222851,0.04,0.0352704,0.0622561,0.796359,1.31721e-07,8.65701,0.784272,271.931,0.0449037,2.56637,109.307,12,8,2
106,1.23086,11,2,1.2372,0.0292103,1172,0.182594,0.495638,0.129616,0.0221943,0.04,0.0358977,0.0638705,0.796476,1.31721e-07,8.59039,0.777677,271.963,0.0449063,2.56644,109.303,12,8,2
107,1.21035,11,2,1.23695,0.0290742,1183,0.182587,0.495082,0.129663,0.0221061,0.04,0.0357156,0.0599836,0.796489,1.31721e-07,8.5255,0.771147,271.999,0.0449086,2.56612,109.307,12,8,2
108,1.18729,11,2,1.2365,0.02894,1194,0.18258,0.494457,0.129709,0.0220191,0.04,0.0353992,0.0616032,0.79655,1.31721e-07,8.46152,0.764772,272.031,0.044909,2.56606,109.303,12,8,2
109,1.22465,11,2,1.23639,0.0288076,1205,0.182573,0.494373,0.129754,0.0219317,0.04,0.0362028,0.0780697,0.796603,1.31721e-07,8.39877,0.758542,272.066,0.0449155,2.56592,109.303,12,8,2
110,1.03273,11,2,1.23454,0.028677,1216,0.182566,0.495281,0.129782,0.0218484,0.04,0.0353757,0.0754336,0.796631,1.31721e-07,8.61167,0.785215,271.957,0.0448968,2.56759,109.286,12,8,3
111,1.18568,11,2,1.23411,0.0285481,1227,0.182559,0.494699,0.129827,0.0217663,0.04,0.0350238,0.0666201,0.796601,1.31721e-07,8.55114,0.778871,271.995,0.0449015,2.56693,109.298,12,8,2
112,1.22796,11,2,1.23405,0.028421,1238,0.182553,0.494342,0.129873,0.0216861,0.04,0.0363837,0.0641454,0.796474,1.31721e-07,8.49253,0.772582,272.035,0.0449118,2.56585,109.316,12,8,2
113,1.25475,11,2,1.23423,0.0282956,1249,0.182546,0.49473,0.129914,0.021605,0.04,0.0379971,0.0844371,0.796566,1.31721e-07,8.43136,0.76651,272.071,0.0449202,2.56578,109.313,12,8,2
114,1.21289,11,2,1.23405,0.0281718,1260,0.18254,0.494549,0.129955,0.0215271,0.04,0.0363308,0.0714816,0.796627,1.31721e-07,8.37142,0.760506,272.106,0.044924,2.56573,109.313,12,8,2
115,1.17593,11,2,1.23354,0.0280496,1271,0.182533,0.493944,0.129995,0.0214492,0.04,0.0340381,0.0646433,0.79667,1.31721e-07,8.31282,0.754573,272.14,0.044926,2.56553,109.315,12,8,2
116,1.14758,11,2,1.23281,0.027929,1282,0.182527,0.493277,0.130034,0.0213747,0.04,0.0340361,0.063527,0.796725,1.31721e-07,8.25445,0.748723,272.172,0.0449269,2.56517,109.321,12,8,2
117,1.17455,11,2,1.23231,0.02781,1293,0.182521,0.492898,0.130073,0.021299,0.04,0.0347314,0.0678057,0.796753,1.31721e-07,8.19802,0.742981,272.206,0.0449283,2.56484,109.327,12,8,2
118,1.16832,12,2,1.23172,0.0276818,1305,0.182375,0.493796,0.130813,0.0212223,0.04,0.0360646,0.0756254,0.796522,1.31721e-07,8.41957,0.770499,272.037,0.0449124,2.5669,109.366,12,8,2
119,1.31686,11,2,1.23243,0.0275659,1316,0.182371,0.494934,0.130845,0.0211498,0.04,0.0393207,0.101867,0.796426,1.31721e-07,8.36332,0.764682,272.069,0.0449166,2.5663,109.377,12,8,2
120,1.18472,11,2,1.23204,0.0274514,1327,0.182366,0.494543,0.130876,0.0210787,0.04,0.0346777,0.0666412,0.796472,1.31721e-07,8.30618,0.758939,272.103,0.0449144,2.56612,109.377,12,8,2
121,1.25238,11,2,1.23221,0.0273383,1338,0.182362,0.494799,0.130906,0.0210111,0.04,0.0375363,0.0839093,0.796555,1.31721e-07,8.25048,0.753365,272.135,0.044924,2.56585,109.383,12,8,2
122,1.25059,11,2,1.23236,0.0272266,1349,0.182357,0.494518,0.130936,0.0209417,0.04,0.0356681,0.0678696,0.796565,1.31721e-07,8.19667,0.747834,272.166,0.0449279,2.56514,109.395,12,8,2
