# frame;ts_ms;est_x,est_y,est_th;verts;corner_sigma;edge_sigma_d;closed,publishable
110;1789213397336;0.0062573,-0.00746421,0.00288422;-2.61098,-2.06631 3.3704,-1.68359 3.11497,2.32254 -2.86722,1.94207;0.874105 0.988447 0.988465 0.874229;0.5 0.5 0.5 0.5;1,0
111;1789213397386;0.00631676,-0.00753845,0.00255858;-2.61122,-2.06553 3.3702,-1.68343 3.11529,2.32243 -2.86696,1.94221;0.874104 0.988447 0.988516 0.874191;0.5 0.5 0.5 0.5;1,0
112;1789213397432;0.00636721,-0.00760869,0.00255268;-2.61095,-2.06568 3.37131,-1.68266 3.11535,2.32286 -2.86744,1.94114;0.874107 0.988648 0.988653 0.874198;0.5 0.5 0.5 0.5;1,0
113;1789213397486;0.00641763,-0.00767917,0.00185819;-2.61178,-2.06477 3.37019,-1.68418 3.11577,2.32224 -2.86664,1.94214;0.874109 0.988544 0.988612 0.874133;0.5 0.5 0.5 0.5;1,0
114;1789213397536;0.00648275,-0.00774493,0.00239812;-2.6118,-2.06588 3.37028,-1.68384 3.11503,2.3221 -2.86752,1.94102;0.874225 0.988467 0.988521 0.874263;0.5 0.5 0.5 0.5;1,0
115;1789213397585;0.00655326,-0.00778694,0.00199495;-2.61247,-2.064 3.37031,-1.68419 3.11662,2.32087 -2.86671,1.94261;0.874189 0.988631 0.988633 0.874286;0.5 0.5 0.5 0.5;1,0
116;1789213397634;0.00659108,-0.00787177,0.00136014;-2.61248,-2.06372 3.36969,-1.68474 3.1162,2.321 -2.86633,1.94294;0.874135 0.98854 0.988527 0.874211;0.5 0.5 0.5 0.5;1,0
117;1789213397694;0.00666717,-0.00795629,0.000973002;-2.61234,-2.06533 3.3699,-1.68688 3.11658,2.32089 -2.86606,1.94347;0.87409 0.988595 0.988559 0.874194;0.5 0.5 0.5 0.5;1,0
118;1789213397747;0.00671669,-0.00799676,0.00103286;-2.61216,-2.0641 3.36926,-1.68483 3.11648,2.3206 -2.86574,1.94319;0.874093 0.988418 0.988533 0.87413;0.5 0.5 0.5 0.5;1,0
119;1789213397798;0.00677657,-0.00808935,0.00129152;-2.61198,-2.06435 3.37042,-1.68498 3.11658,2.32123 -2.86611,1.94306;0.874061 0.988675 0.988624 0.874155;0.5 0.5 0.5 0.5;1,0
120;1789213397843;0.00681447,-0.0081523,0.00167785;-2.61147,-2.06502 3.37053,-1.6845 3.11571,2.32196 -2.86673,1.9419;0.874041 0.988623 0.988591 0.874158;0.5 0.5 0.5 0.5;1,0
121;1789213397892;0.00687827,-0.00821093,0.0013721;-2.61208,-2.06492 3.37009,-1.68556 3.11643,2.32148 -2.86611,1.94261;0.874091 0.988592 0.988651 0.874107;0.5 0.5 0.5 0.5;1,0
122;1789213397942;0.00693242,-0.00827096,0.000478971;-2.61239,-2.06354 3.36922,-1.68579 3.1168,2.32013 -2.86529,1.94379;0.874032 0.988505 0.988515 0.874105;0.5 0.5 0.5 0.5;1,0
123;1789213397998;0.00699676,-0.00835558,0.000376523;-2.61234,-2.0644 3.36973,-1.68577 3.11668,2.32051 -2.86586,1.94325;0.874091 0.988558 0.988565 0.874166;0.5 0.5 0.5 0.5;1,0
