# frame;ts_ms;est_x,est_y,est_th;verts;corner_sigma;edge_sigma_d;closed,publishable
50;1789213052922;-0.00112046,-0.00467913,0.00129927;-10,-2.5309 3.3699,-1.66007 3.13051,2.01967 10,2.01967 10,2.77201 -2.85994,1.93606 -2.85994,10 -3.39856,10 -2.62065,-1.95984 -10,-1.95984;0.832074 0.0216973 0.680584 1.88477 0.883367 0.713756 2.66539 1.02296 0.850978 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
51;1789213052973;-0.00114325,-0.00477442,0.000960575;-10,-2.52419 3.36738,-1.66295 3.13056,2.01967 10,2.01967 10,2.76646 -2.85994,1.93885 -2.85994,10 -3.39043,10 -2.6215,-1.95984 -10,-1.95984;0.830632 0.0216961 0.680559 1.88477 0.882133 0.714248 2.66539 1.02105 0.851116 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
52;1789213053019;-0.00116368,-0.00485979,0.000846407;-10,-2.52391 3.36733,-1.66326 3.13017,2.01967 10,2.01967 10,2.76448 -2.85994,1.93742 -2.85994,10 -3.39101,10 -2.62103,-1.95984 -10,-1.95984;0.830573 0.0216961 0.680502 1.88477 0.881702 0.713978 2.66539 1.02119 0.851021 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
53;1789213053072;-0.00118748,-0.00495904,0.000415881;-10,-2.51684 3.36439,-1.66708 3.13026,2.01967 10,2.01967 10,2.75547 -2.85994,1.9395 -2.85994,10 -3.38185,10 -2.62257,-1.95984 -10,-1.95984;0.829053 0.0216946 0.680476 1.88477 0.879712 0.714328 2.66539 1.01904 0.851298 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
54;1789213053129;-0.00121269,-0.00506425,0.00098632;-10,-2.52195 3.3668,-1.66665 3.1305,2.01967 10,2.01967 10,2.76285 -2.85994,1.93803 -2.85994,10 -3.38864,10 -2.62218,-1.95984 -10,-1.95984;0.830141 0.0216961 0.68054 1.88477 0.881341 0.714084 2.66539 1.02063 0.851249 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
55;1789213053188;-0.00123883,-0.00517344,0.00116148;-10,-2.52345 3.3657,-1.66525 3.12903,2.01967 10,2.01967 10,2.76509 -2.85994,1.93736 -2.85994,10 -3.38997,10 -2.62257,-1.95984 -10,-1.95984;0.830466 0.0216948 0.680313 1.88477 0.881839 0.71397 2.66539 1.02094 0.851335 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
56;1789213053236;-0.00126023,-0.00526277,4.55092e-05;-10,-2.51231 3.36383,-1.66982 3.13154,2.01967 10,2.01967 10,2.75174 -2.85994,1.94201 -2.85994,10 -3.37694,10 -2.62414,-1.95984 -10,-1.95984;0.828077 0.0216949 0.680656 1.88477 0.878881 0.714775 2.66539 1.01788 0.851603 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
57;1789213053287;-0.00128314,-0.00535804,-0.000142032;-10,-2.51423 3.36578,-1.6703 3.13321,2.01967 10,2.01967 10,2.75238 -2.85994,1.94001 -2.85994,10 -3.37793,10 -2.62283,-1.95984 -10,-1.95984;0.828485 0.0216964 0.680923 1.88477 0.87903 0.71441 2.66539 1.01812 0.851336 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
58;1789213053333;-0.00130369,-0.00544337,-0.000161636;-10,-2.51727 3.36544,-1.66648 3.13085,2.01967 10,2.01967 10,2.75611 -2.85994,1.93958 -2.85994,10 -3.3826,10 -2.6215,-1.95984 -10,-1.95984;0.829145 0.0216955 0.680576 1.88477 0.879851 0.714346 2.66539 1.01922 0.851081 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
59;1789213053383;-0.00132608,-0.00553667,0.00079855;-10,-2.5213 3.36654,-1.6661 3.13066,2.01967 10,2.01967 10,2.76264 -2.85994,1.93951 -2.85994,10 -3.38769,10 -2.62285,-1.95984 -10,-1.95984;0.830006 0.0216959 0.680562 1.88477 0.881289 0.714355 2.66539 1.0204 0.851384 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
60;1789213053430;-0.00134698,-0.00562403,0.00135779;-10,-2.52462 3.36443,-1.66655 3.12815,2.01967 10,2.01967 10,2.76317 -2.85994,1.93808 -2.85994,10 -3.38936,10 -2.6222,-1.95984 -10,-1.95984;0.830712 0.0216937 0.680169 1.88477 0.881413 0.714096 2.66539 1.0208 0.851256 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
