t_ms,node,yaw,hi,sdf0,sdf90,sdf180,sdf270,best_deg
466819003,chair_1,26.7756,822,0.210447,0.248918,0.379347,0.411262,0
466819103,chair_1,26.7756,993,0.283722,0.328308,0.42737,0.466943,0
466819210,chair_1,26.7756,1109,0.377954,0.420317,0.48878,0.532885,0
466819303,chair_1,26.7771,1327,0.207879,0.237314,0.380883,0.410425,0
466819405,chair_1,26.7771,1434,0.267784,0.303354,0.416684,0.450822,0
466819507,chair_1,26.7756,1335,0.0931909,0.127878,0.324901,0.291504,0
466819607,chair_1,26.7861,1223,0.100001,0.14975,0.328153,0.252952,0
466819703,chair_1,26.7861,1127,0.0911041,0.138518,0.330189,0.281974,0
466819908,chair_1,26.7879,920,0.0673111,0.129505,0.312508,0.235095,0
466820011,chair_1,26.7824,861,0.0754369,0.174462,0.310872,0.179296,0
466820110,chair_1,26.7824,760,0.0561087,0.0993883,0.307272,0.272273,0
466820206,chair_1,26.7794,844,0.0832551,0.103568,0.311652,0.283683,0
466820308,chair_1,26.7742,818,0.083815,0.10567,0.311511,0.304372,0
466820405,chair_1,26.7754,781,0.0851064,0.0992101,0.305444,0.292094,0
466820510,chair_1,26.7746,810,0.0744017,0.106381,0.307049,0.295349,0
466820602,chair_1,26.7746,762,0.0531095,0.110978,0.301434,0.255683,0
466820703,chair_1,26.7755,687,0.0604823,0.0936574,0.296485,0.273775,0
466820804,chair_1,26.7793,588,0.0377995,0.148408,0.304603,0.200828,0
466820904,chair_1,26.7793,704,0.0418643,0.110756,0.298236,0.246969,0
466821005,chair_1,26.7798,665,0.038209,0.122631,0.300008,0.218193,0
466821103,chair_1,26.777,640,0.0694436,0.0983179,0.304242,0.288845,0
466821208,chair_1,26.777,665,0.0420091,0.0991568,0.294282,0.259707,0
466821311,chair_1,26.777,658,0.0617921,0.0965518,0.299821,0.291422,0
466821405,chair_1,26.777,647,0.0847483,0.0892322,0.30434,0.27979,0
466821503,chair_1,26.7772,724,0.0767176,0.10797,0.302316,0.301621,0
466821603,chair_1,26.777,714,0.102731,0.0956853,0.304827,0.28616,90
466821703,chair_1,26.777,811,0.0845674,0.106898,0.305786,0.303919,0
466821805,chair_1,26.773,830,0.133892,0.111568,0.309454,0.289153,90
466821906,chair_1,28.3438,850,0.131473,0.314681,0.287627,0.164029,0
466822002,chair_1,28.3438,939,0.189803,0.34667,0.373229,0.16323,270
466822102,chair_1,28.3438,950,0.180408,0.346258,0.368517,0.181126,0
466822204,chair_1,28.3438,969,0.166811,0.325517,0.256991,0.187588,0
466822304,chair_1,28.3438,1007,0.200767,0.33791,0.258827,0.219266,0
466822403,chair_1,28.3438,1003,0.128437,0.303327,0.233132,0.114552,270
466822504,chair_1,28.3544,1006,0.154759,0.300659,0.20665,0.127351,270
466822605,chair_1,33.0667,993,0.117654,0.141087,0.302163,0.225042,0
466822703,chair_1,33.0667,1051,0.116805,0.151446,0.303894,0.204759,0
466822810,chair_1,33.0667,1054,0.116442,0.146038,0.304423,0.212125,0
466822903,chair_1,33.0667,1015,0.13282,0.164426,0.299291,0.197324,0
466823005,chair_1,33.0667,1098,0.124712,0.142245,0.305804,0.225247,0
466823102,chair_1,33.0667,1075,0.146558,0.163423,0.305333,0.212194,0
466823206,chair_1,33.0667,1143,0.117626,0.130315,0.303472,0.238727,0
466823303,chair_1,33.0667,1160,0.124869,0.126223,0.306306,0.262347,0
466823405,chair_1,33.0667,1222,0.139229,0.136645,0.304735,0.243824,90
466823506,chair_1,33.0667,1280,0.172629,0.165281,0.31301,0.248578,90
466823608,chair_1,33.0667,1318,0.139247,0.1351,0.309537,0.267144,90
466823706,chair_1,33.0667,1396,0.155277,0.138337,0.302946,0.271337,90
466823805,chair_1,33.0667,1388,0.128288,0.127235,0.308829,0.276045,90
466823910,chair_1,33.0667,1446,0.138796,0.132567,0.309631,0.272645,90
466824003,chair_1,33.0667,1459,0.103045,0.134657,0.303857,0.250754,0
466824104,chair_1,33.0577,1432,0.101637,0.165707,0.30537,0.22215,0
466824205,chair_1,33.057,1481,0.107027,0.162246,0.310505,0.243937,0
466824304,chair_1,33.0575,1472,0.121653,0.159872,0.30595,0.23683,0
466824405,chair_1,33.0575,1565,0.122085,0.132416,0.303805,0.272074,0
466824509,chair_1,33.0553,1595,0.145259,0.143465,0.30541,0.274738,90
466824604,chair_1,33.0553,1635,0.117245,0.134219,0.307592,0.278288,0
466824706,chair_1,33.0553,1691,0.124329,0.127463,0.298375,0.273187,0
466824803,chair_1,33.0553,1704,0.101094,0.127657,0.301494,0.27595,0
466824907,chair_1,33.0457,1759,0.117187,0.123075,0.297236,0.274652,0
466825005,chair_1,33.0339,1910,0.101746,0.119281,0.294611,0.270606,0
466825108,chair_1,33.0339,1916,0.130996,0.138769,0.29839,0.275968,0
466825210,chair_1,33.0339,1963,0.0988718,0.123696,0.297652,0.281358,0
466825304,chair_1,33.0309,1997,0.109426,0.126799,0.300654,0.282838,0
466825406,chair_1,33.0309,2071,0.0919133,0.135239,0.299253,0.270591,0
466825504,chair_1,33.0257,2134,0.10394,0.129419,0.29521,0.266489,0
466825603,chair_1,33.0191,2168,0.0859535,0.133193,0.295628,0.265333,0
466825707,chair_1,33.0191,2238,0.0956892,0.122111,0.289344,0.260461,0
466825805,chair_1,33.0117,2280,0.0790409,0.124193,0.289518,0.261258,0
466825903,chair_1,33.0106,2393,0.0993158,0.125994,0.288696,0.261147,0
466826006,chair_1,33.0054,2449,0.0894931,0.12748,0.289313,0.266145,0
466826103,chair_1,33.0111,2530,0.086697,0.122727,0.28744,0.26268,0
466826209,chair_1,33.0085,2614,0.090224,0.126316,0.28946,0.263333,0
466826305,chair_1,33.0123,2649,0.0829194,0.120638,0.285403,0.260634,0
466826403,chair_1,33.0122,2706,0.0884984,0.125993,0.290749,0.263463,0
466826509,chair_1,33.0111,2749,0.0859397,0.123849,0.290476,0.263478,0
466826605,chair_1,33.0107,2875,0.0970761,0.121888,0.285788,0.259058,0
466826704,chair_1,33.0105,2918,0.0751773,0.120916,0.286935,0.257657,0
466826804,chair_1,33.0061,2965,0.101222,0.125844,0.288349,0.258603,0
466826909,chair_1,32.9969,3013,0.0810546,0.125764,0.288855,0.257748,0
466827008,chair_1,32.9934,3053,0.075788,0.12144,0.28539,0.250481,0
